queue_length,priority,num_doctors,arrival_rate,dept_load,time_of_day,free_doctors,wait_time
0,2,3,0.624,0,2,3,0.0
0,1,3,0.624,0,4,2,0.0
0,1,3,0.624,0,6,1,0.0
0,2,3,0.624,0,8,1,0.0
3,1,3,0.624,0,13,0,0.0
0,2,3,0.624,0,9,0,5.0
1,2,3,0.624,0,11,0,4.0
4,0,3,0.624,0,16,0,1.0
7,0,3,0.624,2,19,0,0.0
2,1,3,0.624,0,16,0,6.0
11,0,3,0.624,0,23,0,0.0
12,0,3,0.624,3,2,0,0.0
5,1,3,0.624,1,16,0,10.0
7,1,3,0.624,0,20,0,10.0
14,0,3,0.624,3,7,0,0.0
8,1,3,0.624,2,20,0,11.0
11,1,3,0.624,2,22,0,13.0
11,1,3,0.624,3,3,0,10.0
13,1,3,0.624,4,5,0,10.0
14,1,3,0.624,4,9,0,8.0
16,1,3,0.624,3,11,0,6.0
16,0,3,0.624,5,19,0,1.0
17,1,3,0.624,4,11,0,10.0
17,1,3,0.624,5,15,0,11.0
2,2,3,0.624,1,12,0,38.0
2,2,3,0.624,2,15,0,36.0
3,2,3,0.624,0,16,0,38.0
6,2,3,0.624,2,17,0,37.0
10,1,3,0.624,3,10,0,1.0
6,2,3,0.624,1,18,0,44.0
9,2,3,0.624,1,20,0,42.0
10,2,3,0.624,3,21,0,46.0
11,2,3,0.624,2,1,0,43.0
12,2,3,0.624,2,4,0,41.0
5,0,3,0.624,2,22,0,2.0
5,0,3,0.624,1,2,0,0.0
7,0,3,0.624,1,4,0,0.0
14,2,3,0.624,3,6,0,51.0
9,0,3,0.624,2,10,0,1.0
13,2,3,0.624,3,8,0,51.0
10,0,3,0.624,1,13,0,2.0
13,0,3,0.624,0,15,0,1.0
14,0,3,0.624,3,15,0,4.0
8,1,3,0.624,0,12,0,8.0
11,1,3,0.624,1,14,0,9.0
12,1,3,0.624,2,15,0,9.0
15,1,3,0.624,3,20,0,6.0
16,1,3,0.624,2,22,0,6.0
15,2,3,0.624,5,10,0,67.0
17,2,3,0.624,5,13,0,67.0
17,2,3,0.624,5,17,0,64.0
5,2,3,0.624,0,3,0,30.0
6,2,3,0.624,0,4,0,31.0
16,1,3,0.624,3,12,0,4.0
7,2,3,0.624,1,5,0,35.0
16,0,3,0.624,2,17,0,1.0
8,2,3,0.624,2,6,0,37.0
9,2,3,0.624,1,7,0,40.0
14,0,3,0.624,2,0,0,1.0
9,2,3,0.624,2,13,0,39.0
14,2,3,0.624,2,16,0,39.0
14,2,3,0.624,1,18,0,38.0
15,2,3,0.624,0,19,0,40.0
15,2,3,0.624,4,21,0,40.0
17,2,3,0.624,5,23,0,41.0
17,2,3,0.624,3,0,0,40.0
17,2,3,0.624,2,1,0,40.0
18,2,3,0.624,1,2,0,41.0
18,2,3,0.624,3,3,0,42.0
19,2,3,0.624,4,4,0,42.0
3,0,3,0.624,1,2,0,0.0
3,0,3,0.624,0,5,0,1.0
19,2,3,0.624,5,5,0,50.0
3,0,3,0.624,0,10,0,1.0
16,2,3,0.624,1,11,0,50.0
4,0,3,0.624,0,16,0,0.0
17,2,3,0.624,4,16,0,49.0
3,2,3,0.624,0,7,0,10.0
3,2,3,0.624,0,13,0,8.0
5,1,3,0.624,0,22,0,1.0
3,2,3,0.624,0,15,0,9.0
4,2,3,0.624,0,17,0,7.0
4,0,3,0.624,1,1,0,2.0
3,2,3,0.624,0,18,0,11.0
4,2,3,0.624,1,19,0,12.0
5,2,3,0.624,1,20,0,13.0
8,1,3,0.624,1,10,0,0.0
8,0,3,0.624,2,11,0,1.0
9,1,3,0.624,1,12,0,1.0
9,1,3,0.624,0,13,0,1.0
9,1,3,0.624,1,15,0,4.0
10,1,3,0.624,2,16,0,4.0
10,1,3,0.624,1,21,0,0.0
10,1,3,0.624,3,22,0,3.0
5,2,3,0.624,2,0,0,25.0
11,0,3,0.624,3,2,0,2.0
12,1,3,0.624,2,2,0,3.0
11,1,3,0.624,2,6,0,1.0
5,2,3,0.624,0,2,0,30.0
6,2,3,0.624,2,3,0,35.0
6,2,3,0.624,0,5,0,33.0
6,2,3,0.624,1,6,0,33.0
7,2,3,0.624,2,7,0,34.0
7,2,3,0.624,0,8,0,35.0
8,2,3,0.624,1,9,0,37.0
9,2,3,0.624,1,14,0,33.0
11,2,3,0.624,1,18,0,31.0
11,2,3,0.624,1,0,0,27.0
12,2,3,0.624,1,1,0,28.0
8,2,3,0.624,1,15,0,17.0
3,2,3,0.624,1,2,0,7.0
1,0,3,0.624,0,10,0,4.0
6,0,3,0.624,1,17,0,0.0
3,1,3,0.624,0,12,0,5.0
4,1,3,0.624,0,14,0,7.0
4,1,3,0.624,0,16,0,6.0
5,1,3,0.624,0,20,0,3.0
5,1,3,0.624,0,23,0,2.0
5,1,3,0.624,0,0,0,3.0
5,0,3,0.624,0,5,0,1.0
5,1,3,0.624,0,3,0,4.0
6,0,3,0.624,1,11,0,0.0
2,2,3,0.624,0,6,0,30.0
2,2,3,0.624,1,11,0,25.0
5,2,3,0.624,2,17,0,21.0
5,2,3,0.624,1,22,0,18.0
